id|producto|costo|codigo de barras|catidad|costo de compra|marca|
610|trident fresa/frutilla/limon|10|7622210938619|0|0||
611|trident twist|10|7622210938664|0|0||
612|trident uva/naranja|10|7622210938732|0|0||
613|kinder delice 39g|10|8000500267035|0|0||
614|jugoso al sarten maggi 23,4gr|15|8585002432315|0|0||
615|frituras salda�a|8|frituras salda�a|0|0||
616|totopos|17|totopos|0|0||
617|nutrileche 1Lt|16|7501020540666|0|14||
618|yackul|9|7501025511036|0|5,5||
619|bimbu�uelos|14|7501030472698|0|10,63||
620|mantecadas nuez6p|18|7501030475514|0|13,67||
621|donas 6p|14|7501030474227|0|10.63||
622|nito|10|7501000112784|0|7,69||
623|colchones|10|7501000112203|0|7,64||
624|mantecadas vain 6p|18|7501030475521|0|13,67||
625|panquesito gota cho|15|7501030429272|0|15,19||
626|panque nuez|30|7501000112326|0|22,78||
627|roles de canela|14|7501000112128|0|10,63||
628|roles glas|14|7501000112166|0|10,63||
629|barra frut fr|8|7501000116447|0|6,07||
630|tarta fr 8p|15|7501030431282|0|11,25||
631|bimbollos 8p|30|7501000111602|0|24,9||
632|panera oreja|1|7501030470236|0|16,3||
633|crunch cookis cream|15|7501058626899|0|8||
634|crunch crisp|11|7501059239036|0|0||
635|crunch normal|11|7501059223905|0|0||
636|carlos v normal|8|7501058638083|0|8||
637|larin almen|10|7501059299436|0|8||
638|larin nuez|10|7501059299443|0|8||
639|larin avellana|10|7501059299429|0|8||
640|chocolata abue barra|3|7501059292147|0|0||
641|jarabe maple 250ml|18|7501200484087|0|15||
642|harina hotcakes 350g|16|7501200483127|0|42||
643|platos desechables 20p|12|7501219112551|0|9,5||
644|valentinas 370ml|12|97339000054|0|0||
645|regio 4p|25|7501019035548|0|0||
646|cloralex 950ml|14|75000615|0|0||
647|kotex naturals 10p|33|7501943424609|0|0||
648|tyny pa�ales|120|619585012454|0|0||
649|malboro rojos|4|75001322|0|0||
650|chester|3|75067854|0|0||651|gatorade naranja 350ml|10|036731103512|5|0|gatorade|
651|gatorade|10|036731103536|10|0|gatorade|
652|9|9|hoaids|9|9|9|
